id,value
id_0,7.8597356297911585
id_1,16.652449265524517
id_2,34.46087286733575
id_3,10.440526103996064
id_4,30.25377141614918
id_5,21.971197439850172
id_6,24.524775835019387
id_7,41.36738000984028
id_8,29.02451687869296
id_9,58.84706278811085
id_10,23.238495031274798
id_11,17.08653817604999
id_12,52.12520415147961
id_13,56.902740722965206
id_14,17.40371685926249
id_15,4.078070099508608
id_16,30.128833561787268
id_17,64.75790938611537
id_18,2.0352226297575555
id_19,17.17554906777997
id_20,45.340788954530595
id_21,63.36364747283158
id_22,8.00144658253858
id_23,16.19106912074051
id_24,11.279679793147807
id_25,38.297272002276074
id_26,11.914142455310122
id_27,79.40132869665703
id_28,12.366043998934405
id_29,63.197374740001166
id_30,18.14940454733174
id_31,12.80748616640565
id_32,29.350685596742963
id_33,39.09909106967757
id_34,48.278700315179584
id_35,33.295698376078796
id_36,38.62542699518783
id_37,40.06081652346168
id_38,43.59002872476695
id_39,54.070479849406524
id_40,3.766578688049975
id_41,41.513294863365786
id_42,46.553681877797345
id_43,40.981967045819815
id_44,15.577888961987362
id_45,40.382943904797216
id_46,18.964442571801367
id_47,10.20859999467325
id_48,20.19830684706205
id_49,29.994690452406665
id_50,38.403974684602275
id_51,9.391345074210225
id_52,47.16749654000848
id_53,52.074521202715616
id_54,14.320995725593882
id_55,32.25697587145051
id_56,28.167988551779573
id_57,30.02755707478591
id_58,69.00672688023357
id_59,21.08922432935207
id_60,23.921673600586807
id_61,43.521483724009364
id_62,11.290460847718375
id_63,52.430400705884736
id_64,21.549103376444233
id_65,19.434206873015626
id_66,20.0050107609255
id_67,3.936477058618287
id_68,52.44515993035928
id_69,46.9243497516494
id_70,10.04681853989905
id_71,27.821133325450898
id_72,62.183502119208526
id_73,4.224918502546192
id_74,15.25893643180237
id_75,12.734856469394469
id_76,49.62507777078809
id_77,25.65605655107191
id_78,34.781561089856915
id_79,30.181083773451384
id_80,19.436315573378238
id_81,45.268432966980455
id_82,34.04795373764187
id_83,72.81218041839303
id_84,32.90194211521549
id_85,28.73582718166357
id_86,32.08100451857642
id_87,25.21382728305703
id_88,23.459755648680925
id_89,23.7470749908705
id_90,31.004640008104268
id_91,34.363959633674
id_92,3.796672007926608
id_93,39.68813865462105
id_94,40.472409085209705
id_95,16.802379164085153
id_96,40.62051187892448
id_97,12.234888476647278
id_98,24.36490572948861
id_99,8.884996800798667
id_100,14.816710759110165
id_101,34.09908088744378
id_102,15.017622417211596
id_103,19.16362274110701
id_104,25.773391923430786
id_105,32.09006765783698
id_106,29.409815472915575
id_107,13.409641334408528
id_108,17.665815637993383
id_109,77.69313498469384
id_110,37.72684239151249
id_111,9.058258557504463
id_112,34.44869060827335
id_113,21.383936926676
id_114,14.184822036422002
id_115,26.84505822128699
id_116,20.15708866053122
id_117,11.796533110712566
id_118,28.60619461187759
id_119,14.615269033423205
id_120,43.64728914068146
id_121,18.765056437122283
id_122,16.34665085554512
id_123,26.459875929516755
id_124,13.436263516084287
id_125,57.41771643970715
id_126,19.166792962261486
id_127,8.695136064275815
id_128,34.65774699429414
id_129,64.7740362952308
id_130,15.998517285462311
id_131,29.08346518099654
id_132,56.543323401437306
id_133,8.976920116004372
id_134,14.123589560546812
id_135,5.375478173331885
id_136,16.986608977445275
id_137,54.21512479784154
id_138,14.0669656685434
id_139,1.9336550375097907
id_140,26.82621920624325
id_141,30.02905052049379
id_142,24.579680964384973
id_143,38.899060278886104
id_144,10.8934012151175
id_145,29.613142669742135
id_146,6.656769842211965
id_147,58.23416606860681
id_148,18.06551350208887
id_149,36.91364531823347
id_150,11.158976718590488
id_151,3.3685376825021223
id_152,26.723724495348026
id_153,1.956004483159461
id_154,24.658734545043316
id_155,31.54261461536899
id_156,10.475231533620708
id_157,31.142153853213173
id_158,26.356029625543506
id_159,27.681884759029312
id_160,43.21602885298591
id_161,15.470450399910774
id_162,3.8911026008438085
id_163,7.040672272860402
id_164,53.31667318873066
id_165,27.378078395357896
id_166,-5.962995085555253
id_167,15.692526073067196
id_168,58.57022779782358
id_169,11.657998152566439
id_170,63.245582322366275
id_171,41.46028466388939
id_172,24.546799224295405
id_173,20.336914078999747
id_174,49.231073463049896
id_175,14.554879599971596
id_176,25.638961527107057
id_177,31.137509757368576
id_178,8.36218811644478
id_179,26.551927029094948
id_180,16.260855398568268
id_181,10.20228874385522
id_182,41.44653302174204
id_183,38.95599344552179
id_184,20.553121681647664
id_185,25.307483859323646
id_186,22.541433316538722
id_187,65.22273332922677
id_188,14.402923992771056
id_189,53.80720589532903
id_190,42.08082399679141
id_191,12.12369246808659
id_192,25.612068890877588
id_193,1.9472817909791615
id_194,21.96533642302058
id_195,7.622142964902217
id_196,32.513075068303316
id_197,12.31777455979152
id_198,24.427896683489823
id_199,84.32340883998445
id_200,30.621830527536897
id_201,15.660683560815594
id_202,65.63651112875178
id_203,13.289069333847037
id_204,8.634128848787476
id_205,12.958780042013785
id_206,9.038425244864118
id_207,6.927281150785891
id_208,95.66063727525184
id_209,15.870970510615958
id_210,12.728330696484463
id_211,19.15198175954407
id_212,21.510516678369285
id_213,33.29657668473877
id_214,20.97939755882487
id_215,24.531931616312352
id_216,64.94215686799001
id_217,5.936918028948039
id_218,12.227026995945941
id_219,39.99995926788335
id_220,21.293243853862133
id_221,15.503177462434044
id_222,144.7985241957943
id_223,17.80990963309823
id_224,16.870351801839355
id_225,48.34793125192927
id_226,19.312139683324762
id_227,18.661581815095083
id_228,14.30028812256548
id_229,21.330338288215486
id_230,42.603164631434936
id_231,24.879405568301067
id_232,40.75418324031075
id_233,44.78127583504286
id_234,16.298828033189913
id_235,50.54385378118915
id_236,64.72262307786751
id_237,48.01474917389545
id_238,26.450295800217468
id_239,14.452820055970562
